project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    DateTimeZone dateTimeZone0 = DateTimeZone.getDefault();
    dateTimeZone0.getMillisKeepLocal(dateTimeZone0, 9223372036854775773L);
}",0,
project,0,test011,"public void test011() throws Throwable {
    DateTimeZone.setNameProvider((NameProvider) null);
}",0,
project,0,test022,"public void test022() throws Throwable {
    DateTimeZone.forID((String) null);
}",0,
project,0,test033,"public void test033() throws Throwable {
    DateTimeZone dateTimeZone0 = DateTimeZone.getDefault();
    dateTimeZone0.getName(764L);
}",0,
project,0,test044,"public void test044() throws Throwable {
    DateTimeZone.forOffsetHours(57);
}",1,
project,0,test055,"public void test055() throws Throwable {
    NameProvider nameProvider0 = DateTimeZone.getNameProvider();
    DateTimeZone.setNameProvider(nameProvider0);
}",0,
project,0,test066,"public void test066() throws Throwable {
    DateTimeZone dateTimeZone0 = DateTimeZone.getDefault();
    dateTimeZone0.UTC.getShortName(764L);
}",0,
project,0,test077,"public void test077() throws Throwable {
    DateTimeZone dateTimeZone0 = DateTimeZone.getDefault();
    Locale locale0 = Locale.ITALY;
    dateTimeZone0.getName((-28378000L), locale0);
}",0,
project,0,test088,"public void test088() throws Throwable {
    DateTimeZone.getDefault();
    DateTimeZone dateTimeZone0 = DateTimeZone.getDefault();
    DefaultNameProvider defaultNameProvider0 = new DefaultNameProvider();
    DateTimeZone.setNameProvider(defaultNameProvider0);
    dateTimeZone0.toString();
}",0,
project,0,test099,"public void test099() throws Throwable {
    DateTimeZone.forOffsetMillis((-430));
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    DateTimeZone dateTimeZone0 = DateTimeZone.getDefault();
    dateTimeZone0.convertLocalToUTC(3600L, false);
}",0,
project,0,test1111,"public void test1111() throws Throwable {
    DateTimeZone dateTimeZone0 = DateTimeZone.getDefault();
    TimeZone timeZone0 = dateTimeZone0.toTimeZone();
    DateTimeZone.forTimeZone(timeZone0);
}",0,
project,0,test1212,"public void test1212() throws Throwable {
    TimeZone timeZone0 = TimeZone.getDefault();
    DateTimeZone.forTimeZone(timeZone0);
}",0,
project,0,test1313,"public void test1313() throws Throwable {
    BuddhistChronology buddhistChronology0 = BuddhistChronology.getInstance();
    buddhistChronology0.getZone();
}",0,
project,0,test1414,"public void test1414() throws Throwable {
    DateTimeZone.forID(""Bm&Tg $?baRci+e3q"");
}",0,
