project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test010,"public void test010() throws Throwable {
    // Undeclared exception!
    try {
        LocalDate.parse(""43r]uw&4"");
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Invalid format: \""43r]uw&4\"" is malformed at \""r]uw&4\""
        //
        verifyException(""org.joda.time.format.DateTimeFormatter"", e);
    }
}",0,
project,0,test031,"public void test031() throws Throwable {
    ISOChronology iSOChronology0 = ISOChronology.getInstance();
    Locale locale0 = Locale.CANADA_FRENCH;
    Integer integer0 = new Integer(949);
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket(0L, iSOChronology0, locale0, integer0);
    DateTimeFieldType dateTimeFieldType0 = DateTimeFieldType.monthOfYear();
    dateTimeParserBucket0.saveField(dateTimeFieldType0, ""|"", locale0);
    // Undeclared exception!
    try {
        dateTimeParserBucket0.computeMillis(false, ""dLa;;DP"");
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Cannot parse \""dLa;;DP\"": Value \""|\"" for monthOfYear is not supported
        //
        verifyException(""org.joda.time.chrono.GJLocaleSymbols"", e);
    }
}",1,
project,0,test042,"public void test042() throws Throwable {
    BuddhistChronology buddhistChronology0 = BuddhistChronology.getInstance();
    Locale locale0 = Locale.CHINESE;
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket(24L, buddhistChronology0, locale0, (Integer) buddhistChronology0.BE, 1);
    DateTimeZone dateTimeZone0 = dateTimeParserBucket0.getZone();
    assertNotNull(dateTimeZone0);
}",0,
project,0,test043,"public void test043() throws Throwable {
    BuddhistChronology buddhistChronology0 = BuddhistChronology.getInstance();
    Locale locale0 = Locale.CHINESE;
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket(24L, buddhistChronology0, locale0, (Integer) buddhistChronology0.BE, 1);
    DateTimeZone dateTimeZone0 = dateTimeParserBucket0.getZone();
    assertEquals(0, dateTimeParserBucket0.getOffset());
}",0,
project,0,test054,"public void test054() throws Throwable {
    GregorianChronology gregorianChronology0 = GregorianChronology.getInstanceUTC();
    Locale locale0 = Locale.ITALIAN;
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket((-2036L), gregorianChronology0, locale0);
    dateTimeParserBucket0.getPivotYear();
    assertEquals(0, dateTimeParserBucket0.getOffset());
}",0,
project,0,test065,"public void test065() throws Throwable {
    DateTimeZone dateTimeZone0 = DateTimeZone.forID((String) null);
    GregorianChronology gregorianChronology0 = GregorianChronology.getInstance(dateTimeZone0);
    Locale locale0 = Locale.JAPANESE;
    Integer integer0 = new Integer(0);
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket((-2289L), gregorianChronology0, locale0, integer0);
    dateTimeParserBucket0.getPivotYear();
    assertEquals(0, dateTimeParserBucket0.getOffset());
}",0,
project,0,test076,"public void test076() throws Throwable {
    FixedDateTimeZone fixedDateTimeZone0 = (FixedDateTimeZone) DateTimeZone.UTC;
    IslamicChronology islamicChronology0 = IslamicChronology.getInstance((DateTimeZone) fixedDateTimeZone0);
    Locale locale0 = Locale.SIMPLIFIED_CHINESE;
    Integer integer0 = new Integer((-72));
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket(0L, islamicChronology0, locale0, integer0);
    dateTimeParserBucket0.getPivotYear();
    assertEquals(0, dateTimeParserBucket0.getOffset());
}",0,"assertEquals(0, dateTimeParserBucket0.getOffset())"
project,0,test087,"public void test087() throws Throwable {
    GJChronology gJChronology0 = GJChronology.getInstance();
    DateTimeZone dateTimeZone0 = DateTimeZone.getDefault();
    ZonedChronology zonedChronology0 = ZonedChronology.getInstance(gJChronology0, dateTimeZone0);
    LenientChronology lenientChronology0 = LenientChronology.getInstance(zonedChronology0);
    Locale locale0 = Locale.ROOT;
    Integer integer0 = new Integer(0);
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket((-45L), lenientChronology0, locale0, integer0, 0);
    dateTimeParserBucket0.setOffset(959);
    int int0 = dateTimeParserBucket0.getOffset();
    assertEquals(959, int0);
}",0,
project,0,test098,"public void test098() throws Throwable {
    GregorianChronology gregorianChronology0 = GregorianChronology.getInstanceUTC();
    Locale locale0 = Locale.TAIWAN;
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket((-1328L), gregorianChronology0, locale0);
    dateTimeParserBucket0.setOffset((-2297));
    int int0 = dateTimeParserBucket0.getOffset();
    assertEquals((-2297), int0);
}",0,
project,0,test109,"public void test109() throws Throwable {
    FixedDateTimeZone fixedDateTimeZone0 = (FixedDateTimeZone) DateTimeZone.UTC;
    IslamicChronology.LeapYearPatternType islamicChronology_LeapYearPatternType0 = IslamicChronology.LEAP_YEAR_INDIAN;
    IslamicChronology islamicChronology0 = IslamicChronology.getInstance((DateTimeZone) fixedDateTimeZone0, islamicChronology_LeapYearPatternType0);
    Locale locale0 = Locale.JAPANESE;
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket((-1211L), islamicChronology0, locale0, (Integer) 1, (-306));
    long long0 = dateTimeParserBucket0.computeMillis(false, ""an,em"");
    assertEquals((-1211L), long0);
}",0,
project,0,test1110,"public void test1110() throws Throwable {
    DateTimeZone dateTimeZone0 = DateTimeZone.forTimeZone((TimeZone) null);
    CopticChronology copticChronology0 = CopticChronology.getInstance(dateTimeZone0);
    Chronology chronology0 = copticChronology0.withUTC();
    Locale locale0 = new Locale(""org.joda.time.DateTimeUtils$OffsetMillisProvider"", ""org.joda.time.DateTimeUtils$OffsetMillisProvider"");
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket(0L, chronology0, locale0);
    long long0 = dateTimeParserBucket0.computeMillis(false);
    assertEquals(0L, long0);
}",1,
project,0,test1211,"public void test1211() throws Throwable {
    BuddhistChronology buddhistChronology0 = BuddhistChronology.getInstanceUTC();
    Locale locale0 = Locale.ITALY;
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket(0L, buddhistChronology0, locale0, (Integer) 1);
    long long0 = dateTimeParserBucket0.computeMillis();
    assertEquals(0L, long0);
}",0,"assertEquals(1, long0)"
project,0,test1312,"public void test1312() throws Throwable {
    BuddhistChronology buddhistChronology0 = BuddhistChronology.getInstance();
    DateTimeField dateTimeField0 = buddhistChronology0.secondOfDay();
    Locale locale0 = Locale.ITALY;
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket(0, buddhistChronology0, locale0, (Integer) 1);
    dateTimeParserBucket0.saveField(dateTimeField0, 0);
    long long0 = dateTimeParserBucket0.computeMillis();
    assertEquals((-28800000L), long0);
}",0,"assertEquals(1, long0)"
