focal_method,test_prefix,docstring
"final boolean isCData() {
    return this instanceof CData;
}","public void test011() throws Throwable {
    Token.CData token_CData0 = new Token.CData(""zq'fTy`U"");
    boolean boolean0 = token_CData0.isCData();
    assertTrue(boolean0);
}",""
"String tokenType() {
    return this.getClass().getSimpleName();
}","public void test022() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    String string0 = token_EndTag0.tokenType();
    assertEquals(""EndTag"", string0);
}",""
"final EndTag asEndTag() {
    return (EndTag) this;
}","public void test033() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    Token.EndTag token_EndTag1 = token_EndTag0.asEndTag();
    assertSame(token_EndTag1, token_EndTag0);
}",""
"final Character asCharacter() {
    return (Character) this;
}","public void test044() throws Throwable {
    Token.CData token_CData0 = new Token.CData("""");
    Token.Character token_Character0 = token_CData0.asCharacter();
    assertSame(token_CData0, token_Character0);
}",""
"final StartTag asStartTag() {
    return (StartTag) this;
}","public void test055() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    Token.StartTag token_StartTag1 = token_StartTag0.asStartTag();
    assertSame(token_StartTag1, token_StartTag0);
}",""
"final Doctype asDoctype() {
    return (Doctype) this;
}","public void test066() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    // Undeclared exception!
    try {
        token_EndTag0.asDoctype();
        fail(""Expecting exception: ClassCastException"");
    } catch (ClassCastException e) {
        //
        // org.jsoup.parser.Token$EndTag cannot be cast to org.jsoup.parser.Token$Doctype
        //
        verifyException(""org.jsoup.parser.Token"", e);
    }
}",""
"final Comment asComment() {
    return (Comment) this;
}","public void test077() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    // Undeclared exception!
    try {
        token_StartTag0.asComment();
        fail(""Expecting exception: ClassCastException"");
    } catch (ClassCastException e) {
        //
        // org.jsoup.parser.Token$StartTag cannot be cast to org.jsoup.parser.Token$Comment
        //
        verifyException(""org.jsoup.parser.Token"", e);
    }
}",""
"static void reset(StringBuilder sb) {
    if (sb != null) {
        sb.delete(0, sb.length());
    }
}","public void test2626() throws Throwable {
    Token.reset((StringBuilder) null);
}",""
"final boolean isDoctype() {
    return type == TokenType.Doctype;
}","public void test4040() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isDoctype();
    assertFalse(boolean0);
}",""
"final boolean isDoctype() {
    return type == TokenType.Doctype;
}","public void test4142() throws Throwable {
    Token.Doctype token_Doctype0 = new Token.Doctype();
    boolean boolean0 = token_Doctype0.isDoctype();
    assertTrue(boolean0);
}",""
"final boolean isStartTag() {
    return type == TokenType.StartTag;
}","public void test4243() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    boolean boolean0 = token_EndTag0.isStartTag();
    assertFalse(boolean0);
}",""
"final boolean isStartTag() {
    return type == TokenType.StartTag;
}","public void test4344() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isStartTag();
    assertTrue(boolean0);
}",""
"final boolean isEndTag() {
    return type == TokenType.EndTag;
}","public void test4445() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isEndTag();
    assertFalse(boolean0);
}",""
"final boolean isEndTag() {
    return type == TokenType.EndTag;
}","public void test4546() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    boolean boolean0 = token_EndTag0.isEndTag();
    assertTrue(boolean0);
}",""
"final boolean isComment() {
    return type == TokenType.Comment;
}","public void test4647() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    boolean boolean0 = token_EndTag0.isComment();
    assertFalse(boolean0);
}",""
"final boolean isComment() {
    return type == TokenType.Comment;
}","public void test4748() throws Throwable {
    Token.Comment token_Comment0 = new Token.Comment();
    boolean boolean0 = token_Comment0.isComment();
    assertTrue(boolean0);
}",""
"final boolean isCharacter() {
    return type == TokenType.Character;
}","public void test4849() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    boolean boolean0 = token_EndTag0.isCharacter();
    assertFalse(boolean0);
}",""
"final boolean isCharacter() {
    return type == TokenType.Character;
}","public void test4950() throws Throwable {
    Token.CData token_CData0 = new Token.CData(""Doctype"");
    boolean boolean0 = token_CData0.isCharacter();
    assertTrue(boolean0);
}",""
"final boolean isEOF() {
    return type == TokenType.EOF;
}","public void test5051() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isEOF();
    assertFalse(boolean0);
}",""
"final boolean isEOF() {
    return type == TokenType.EOF;
}","public void test5152() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    Token.TokenType token_TokenType0 = Token.TokenType.EOF;
    token_EndTag0.type = token_TokenType0;
    boolean boolean0 = token_EndTag0.isEOF();
    assertTrue(boolean0);
}",""
